"","PlotID","OBJECTID","Carbon","Area","TCC","CHMmax","CHMmean","CHMsum","CarbonDensity","Car_TCC","Car_CHMmax","Car_CHMsum","NDVImean","NDVImax","Car_CHMmean"
"1",1,1,58.33,0.085,0,0,0,0,1.69572172352941,0,0,0,0,0,0
"2",2,2,304.9,0.1,14.64,10.0650005341,0.996529632685,390.639616013,7.53423145,11.6167376775816,17.1193963842871,8.14800465917369,0.421364457194,0.592592597008,8.17325529695681
"3",3,3,26.58,0.1,0,0,0,0,0.65680509,0,0,0,0,0,0
"4",4,4,3218.71,0.1,100,23.8399982452,5.85926603784,2296.83228683,79.535933455,79.349301076377,40.5490668756116,47.9075838888,0.506624692785,0.606936395168,48.0560493229132
"5",5,5,0,0.075,0,0,0,0,0,0,0,0,0,0,0
"6",6,6,0,0.1,0,0,0,0,0,0,0,0,0,0,0
"8",8,8,4.3,0.1,4.12,0.47000002861,0.00442960067671,1.73640346527,0.10625515,3.26919120434673,0.799415436009247,0.0362180970522828,0.160350908359,0.410404622555,0.0363303368077239
"9",9,9,29.56,0.1,2.69,7.85999965668,0.0452129329954,17.7234697342,0.73044238,2.13449619895454,13.3689461065784,0.369678107522458,0.476241476834,0.49488055706,0.37082373867794
"10",10,10,220.79,0.1,23.08,9.87000083923,0.911053613741,357.133016586,5.455831295,18.3138186884278,16.7877245617189,7.44912027302076,0.412342534313,0.649999976158,7.47220507056815
"11",11,11,955.11,0.1,28.72,10.7699985504,1.68131220097,659.074382782,23.601245655,22.7891192691355,18.3185160912643,13.7470469494601,0.246289388482,0.520325183868,13.7896489995897
"12",12,12,38.92,0.09,0,0,0,0,1.06859184444444,0,0,0,0,0,0
"13",13,13,337.52,0.1,14.02,12.3800010681,0.98449913093,385.923659325,8.34028796,11.1247720109081,21.0569432961935,8.0496387088421,0.245455133664,0.557971000671,8.0745845108918
"14",14,14,535.46,0.1,20.87,9.69000053406,1.26145942844,494.492095947,13.23148433,16.5601991346399,16.4815649581443,10.314171263077,0.27696431862,0.573221743107,10.3461348435911
"15",15,15,85.38,0.095,3.97,4.22905874252,0.0980091259188,38.4195773602,2.22082367368421,3.15016725273217,7.1931375165206,0.801359827580764,0.0763172793847,0.352226734161,0.803843238868492
"16",16,16,945.46,0.1,38.92,24.0400009155,5.96457513498,2338.11345291,23.36278933,30.8827479789259,40.8892481780548,48.7686310529073,0.511775479103,0.59024387598,48.9197648691315
"17",17,17,0,0.1,0,0,0,0,0,0,0,0,0,0,0
"18",18,18,1601.31,0.1,78.45,20.7800006866,7.40221638582,2901.66882324,39.569170755,62.2495266944178,35.3443665913797,60.5233317922158,0.358462898718,0.501945495605,60.7108933846905
"19",19,19,148.88,0.1,33.2,9.42605495453,0.811061618279,317.936154366,3.67889924,26.3439679573572,16.0326241970837,6.63154775118283,0.167570159012,0.552511394024,6.65209889433625
"20",22,20,0,0.1,0,0,0,0,0,0,0,0,0,0,0
"21",23,21,3531.28,0.1,70.81,18.7250061035,5.67351521278,2224.01796341,87.25969444,56.1872400921826,31.8490595900078,46.388814613589,0.411576148739,0.553571403027,46.5325733869842
"22",24,22,0,0.1,0,0,0,0,0,0,0,0,0,0,0
"23",25,23,0,0.1,0,0,0,0,0,0,0,0,0,0,0
