,PlotID,NL,HLmn,HLmax,NF,HFmn,HFmax,dN,dHmn
1,2,6,8.933333333,10,4,9,10.7,2,-0.066666667
2,4,25,18.372,23,28,11.45357143,25,-3,6.918428571
3,7,3,21.26666667,22.5,2,19.05,20.1,1,2.216666667
4,10,7,9,10.7,3,8.233333333,10.1,4,0.766666667
5,11,5,8.1,10.7,10,6.28,11.9,-5,1.82
6,13,5,9.8,14.3,2,7.3,9.1,3,2.5
7,14,3,7.966666667,8.4,3,6.666666667,8.8,0,1.3
8,16,6,8.977462245,14.02857143,4,9.25,21,2,-0.272537755
9,18,2,20,20.6,1,18,18,1,2
10,19,3,5.377333333,5.6,1,5.2,5.2,2,0.177333333
11,23,2,9.490705128,10.87307692,2,9.3,12.2,0,0.190705128
12,30,1,10.4,10.4,1,11.1,11.1,0,-0.7
13,31,1,6.666666667,6.666666667,1,6.9,6.9,0,-0.233333333
14,34,2,12.3,16.4,2,13.6,14.9,0,-1.3
15,36,1,8.2,8.2,2,7.2,10.1,-1,1
16,37,3,8.433333333,8.5,2,8.8,8.8,1,-0.366666667
17,43,1,7.8,7.8,2,7.75,8.5,-1,0.05
18,44,9,14.06666667,20.4,10,8.82,18.6,-1,5.246666667
19,45,3,16.93333333,18.3,2,18.75,19.2,1,-1.816666667
20,46,21,17.6396471,22.8,18,16.48333333,24.4,3,1.156313769
21,47,15,12.02225909,18.8,14,12.72142857,19.8,1,-0.699169482
22,48,2,10.43005051,11.08787879,3,9.266666667,11.4,-1,1.163383838
23,51,4,11.625,13.9,1,11.6,11.6,3,0.025
24,52,12,15.13333333,22,10,15.45,19.8,2,-0.316666667
25,61,2,12.45,12.9,1,12,12,1,0.45
26,69,2,11.55,11.7,2,11.8,12.5,0,-0.25
27,70,1,9.3,9.3,1,10.1,10.1,0,-0.8
28,80,2,6.436640212,7.301851852,2,9.1,10.4,0,-2.663359788
29,83,1,14.8,14.8,1,19.3,19.3,0,-4.5
30,86,4,7.5,9.6,10,5.94,10.4,-6,1.56
31,87,2,15.45,18,3,12,17.1,-1,3.45
32,88,1,11,11,2,8.7,12.5,-1,2.3
33,93,5,5.68,7.3,20,4.875,6.1,-15,0.805
34,98,1,6.8,6.8,2,6.45,7.6,-1,0.35
35,99,1,5.6,5.6,1,5.2,5.2,0,0.4
36,102,6,9.65,10.8,5,10.16,12,1,-0.51
37,105,9,16.5,20.3,4,14.1,16.8,5,2.4
38,109,5,13.84,21.9,6,9.233333333,18.4,-1,4.606666667
39,110,5,11.18,13.6,5,9.6,12.6,0,1.58
40,112,4,18.5,19.8,1,18,18,3,0.5
41,115,2,13.38333333,15.03333333,2,21.55,22,0,-8.166666667
42,118,3,6.833333333,7.4,2,8.65,9.1,1,-1.816666667
43,119,6,11.85,14.3,3,10.96666667,15.2,3,0.883333333
44,120,2,9.15,9.8,2,6.4,8,0,2.75
45,121,3,9.766666667,20.2,2,9.4,10.8,1,0.366666667
